Date,KBP1120M,KBP1078M,KBP1514M,KBP1081M,KBP1080M,KBP1090M
20080300,217066.0,71097.0,35698.0,48367.0,14529.0,2820136.0
20080400,181921.0,68851.0,28285.0,49413.0,10047.0,2786030.0
20080500,189519.0,73481.0,37688.0,46255.0,8391.0,2852600.0
20080600,193643.0,69079.0,41322.0,48298.0,11970.0,2945358.0
20080700,166611.0,78570.0,36851.0,38484.0,12671.0,2888882.0
20080800,163169.0,78134.0,36393.0,40041.0,12452.0,2856591.0
20080900,183105.0,79741.0,52413.0,42494.0,13378.0,2933129.0
20081000,207745.0,102281.0,41626.0,53480.0,11726.0,3237301.0
20081100,197924.0,90649.0,32402.0,46193.0,11825.0,3222273.0
20081200,177488.0,78269.0,29667.0,64699.0,9357.0,3166502.0
20090100,186006.0,77490.0,28369.0,76140.0,10488.0,3203555.0
20090200,190879.0,74598.0,26859.0,72764.0,13916.0,3139295.0
20090300,187275.0,79561.0,28552.0,65203.0,12063.0,3142305.0
20090400,155767.0,71318.0,20203.0,48614.0,14008.0,3070773.0
20090500,155409.0,63550.0,22948.0,43700.0,10863.0,3064104.0
20090600,162080.0,56399.0,23305.0,52021.0,12456.0,3018077.0
20090700,166210.0,56157.0,30564.0,50566.0,14249.0,3020091.0
20090800,171010.0,55315.0,23142.0,47738.0,13349.0,3014480.0
20090900,153743.0,52032.0,25909.0,51168.0,9114.0,2995359.0
20091000,172477.0,54022.0,25267.0,61232.0,11266.0,2991596.0
20091100,163073.0,55641.0,21482.0,56831.0,5933.0,2992476.0
20091200,160539.0,56471.0,18760.0,57384.0,5096.0,2962612.0
20100100,166121.0,62815.0,13982.0,58377.0,6425.0,2965791.0
20100200,166030.0,55856.0,12818.0,57448.0,8014.0,3000998.0
20100300,164480.0,54690.0,15216.0,50812.0,7973.0,3020328.0
20100400,151383.0,56893.0,12388.0,53449.0,9371.0,2996138.0
20100500,157502.0,54672.0,14417.0,51499.0,9165.0,2998663.0
20100600,149722.0,54759.0,16203.0,49515.0,7786.0,3004659.0
20100700,159777.0,56185.0,11699.0,51743.0,6859.0,3068890.0
20100800,153842.0,55632.0,14557.0,52018.0,5893.0,3094993.0
20100900,147990.0,57419.0,14239.0,51670.0,4771.0,3131507.0
20101000,163096.0,64893.0,13393.0,52910.0,6276.0,3127754.0
20101100,179551.0,61198.0,16084.0,51987.0,7378.0,3128985.0
20101200,158661.0,57644.0,23553.0,55031.0,6760.0,3121782.0
20110100,164426.0,63632.0,16801.0,55268.0,7297.0,3050970.0
20110200,157650.0,58550.0,19407.0,49859.0,9494.0,3069847.0
